file_names,original_script,spoken_text,fluency
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_002_Line_1.wav,树枝上有一个鸟窝,树枝上有一个小窝 鸟窝,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_002_Line_2.wav,鸟儿们住在鸟窝里,鸟儿们住在鸟窝里,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_002_Line_3.wav,一片绿叶浮在水中间,一片绿也 叶 浮在水中间,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_002_Line_4.wav,一只青蛙蹲坐在叶子上,一只青蛙 盾 坐在叶子上,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_005_Line_1.wav,公园里 水池边,公园里 水池边,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_005_Line_2.wav,一 二 三 四,亿 二 三 四,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_005_Line_3.wav,妹妹 哥哥 弟弟三个人 和一只小鸭子,妹妹 哥哥 弟弟三个人 和一只小鸭子,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_005_Line_4.wav,他们都在大声唱歌,他们多在大声唱歌,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_005_Line_5.wav,小鸭子游泳 也呱呱叫,小鸭子 游 游泳 也呱呱叫,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_1.wav,我的名字是张四光,我的名字是张四光,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_2.wav,我今年七岁,我今年七岁,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_3.wav,我是阳光小学一年级的学生,我是阳光小学 艺 年级的学生,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_4.wav,学校就在我家不远的地方,学校就在我家不园 的地方,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_5.wav,学校又大又美丽,学校有 大又美丽,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_6.wav,学校也很干净,学校也 痕 干 净,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_7.wav,我爱我的学校,我爱我的学校,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_1.wav,文云是我的朋友,文云是我的朋友,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_2.wav,有一次 她伤心地哭了,有一次 她伤心地哭了,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_3.wav,因为她丢了钱包,因位 她丢了钱包,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_4.wav,我很同情她,我痕 同 轻 她,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_5.wav,我约她去食堂,我约她去食堂,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_6.wav,我买了一碗粥给她吃,我买了一玩 粥给她吃,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_7.wav,我还买了一包牛奶给文云,我还买了一包牛奶给文运,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_8.wav,文云抱了我一下 跟我说 谢谢你,文玉  保 了我 亿 下 跟我说 谢谢你,2
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_9.wav,看到朋友开心起来 我很快乐,看到朋友开心起来 我 痕 快乐,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_10.wav,爸爸妈妈说 当朋友有需要 你应该关心他们,爸爸妈妈说 当朋友 有 徐 要 你,2
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_11.wav,可以帮助到别人 我很骄傲,可以帮助到别人 我很 教 傲,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_002_Line_1.wav,树枝上有一个鸟窝,树枝上有一个小 鸟窝,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_002_Line_2.wav,鸟儿们住在鸟窝里,鸟儿们住在鸟窝里,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_002_Line_3.wav,一片绿叶浮在水中间,一片绿叶浮在水中 前,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_002_Line_4.wav,一只青蛙蹲坐在叶子上,一只青蛙 顿 蹲坐在叶子上,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_005_Line_1.wav,公园里 水池边,公园里 水池  边,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_005_Line_2.wav,一 二 三 四,一 二 三 四,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_005_Line_3.wav,妹妹 哥哥 弟弟三个人 和一只小鸭子,妹妹 哥哥 弟弟三个人 和一只小鸭子,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_005_Line_4.wav,他们都在大声唱歌,他们都在大声唱歌,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_005_Line_5.wav,小鸭子游泳 也呱呱叫,小鸭子游泳 也呱呱叫,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_008_Line_1.wav,我的名字是张四光,我的名字是张四光,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_008_Line_2.wav,我今年七岁,我今年七岁,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_008_Line_3.wav,我是阳光小学一年级的学生,我是阳光小学一年级的学生,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_008_Line_4.wav,学校就在我家不远的地方,学校就在我家不远的地方,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_008_Line_5.wav,学校又大又美丽,学校又大又美丽,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_008_Line_6.wav,学校也很干净,学校也很干净,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_008_Line_7.wav,我爱我的学校,我爱我的学校,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_1.wav,文云是我的朋友,文云是我的朋友,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_2.wav,有一次 她伤心地哭了,有一次 她伤心地哭了,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_3.wav,因为她丢了钱包,因为她 她丢了钱包,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_4.wav,我很同情她,我 我很同其 她,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_5.wav,我约她去食堂,我 耶 她去食堂,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_6.wav,我买了一碗粥给她吃,我 买 了 一 碗粥给她吃,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_7.wav,我还买了一包牛奶给文云,我还买了一包牛奶给文云,4
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_8.wav,文云抱了我一下 跟我说 谢谢你,文云 包了 包了 我一下 跟我说 谢谢你,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_9.wav,看到朋友开心起来 我很快乐,看到朋友开心起来 我很 开 快乐,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_10.wav,爸爸妈妈说 当朋友有需要 你应该关心他们,爸爸妈妈说 当朋友有需要 你应该关 关心他们,3
1f9323a9-6b19-61c9-6d7f-e077cae35caaText_011_Line_11.wav,可以帮助到别人 我很骄傲,可以帮助到别人 我很骄傲,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_002_Line_1.wav,树枝上有一个鸟窝,树枝上有一个鸟窝,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_002_Line_2.wav,鸟儿们住在鸟窝里,鸟儿们住在鸟窝里,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_002_Line_3.wav,一片绿叶浮在水中间,一片绿叶浮在水中间,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_002_Line_4.wav,一只青蛙蹲坐在叶子上,一只青蛙蹲坐在叶子上,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_005_Line_1.wav,公园里 水池边,公园里 水池边,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_005_Line_2.wav,一 二 三 四,一 二 三 四,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_005_Line_3.wav,妹妹 哥哥 弟弟三个人 和一只小鸭子,妹妹 哥哥 弟弟三个人 和一只小鸭子,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_005_Line_4.wav,他们都在大声唱歌,他们都在大声唱歌,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_005_Line_5.wav,小鸭子游泳 也呱呱叫,小鸭子游泳 也呱呱叫,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_008_Line_1.wav,我的名字是张四光,我的名字是张四光,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_008_Line_2.wav,我今年七岁,我今年七岁,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_008_Line_3.wav,我是阳光小学一年级的学生,我是阳光小学 亿 一年级的学生,3
4aebaa07-7b48-74fd-9807-748080e801c3_Text_008_Line_4.wav,学校就在我家不远的地方,学校就在我家不远的地方,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_008_Line_5.wav,学校又大又美丽,学校又大又美丽,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_008_Line_6.wav,学校也很干净,学校也很干净,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_008_Line_7.wav,我爱我的学校,我爱我的学校,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_1.wav,文云是我的朋友,文云是我的朋友,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_2.wav,有一次 她伤心地哭了,有一次 她伤心地哭了,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_3.wav,因为她丢了钱包,因为她丢了钱包,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_4.wav,我很同情她,我很同 同情她,3
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_5.wav,我约她去食堂,我 我约她去食堂,3
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_6.wav,我买了一碗粥给她吃,我买了- 姨 一碗粥给她吃,3
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_7.wav,我还买了一包牛奶给文云,我还买了一包牛奶给文云,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_8.wav,文云抱了我一下 跟我说 谢谢你,文云抱了我一下 跟我说 谢谢你,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_9.wav,看到朋友开心起来 我很快乐,看到朋友开心起来 我很快乐,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_10.wav,爸爸妈妈说 当朋友有需要 你应该关心他们,爸爸妈妈说 当朋友有需要 你应该关心他们,4
4aebaa07-7b48-74fd-9807-748080e801c3_Text_011_Line_11.wav,可以帮助到别人 我很骄傲,可 可以帮助到别人 我很骄傲,3
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_002_Line_1.wav,树枝上有一个鸟窝,树枝上有一个鸟窝,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_002_Line_2.wav,鸟儿们住在鸟窝里,鸟儿们住在鸟窝里,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_002_Line_3.wav,一片绿叶浮在水中间,一片绿叶浮在水中间,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_002_Line_4.wav,一只青蛙蹲坐在叶子上,一只青蛙蹲坐在叶子上,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_005_Line_1.wav,公园里 水池边,公园里 水池边,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_005_Line_2.wav,一 二 三 四,一 二 三 四,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_005_Line_3.wav,妹妹 哥哥 弟弟三个人 和一只小鸭子,妹妹 哥哥 弟弟三个人 和一只小鸭子,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_005_Line_4.wav,他们都在大声唱歌,他们都在大声唱歌,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_005_Line_5.wav,小鸭子游泳 也呱呱叫,小鸭子游泳 也呱呱叫,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_008_Line_1.wav,我的名字是张四光,我的名字是张四光,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_008_Line_2.wav,我今年七岁,我今年七岁,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_008_Line_3.wav,我是阳光小学一年级的学生,我是阳光小学一年级的学生,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_008_Line_4.wav,学校就在我家不远的地方,学校就在我家不远的地方,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_008_Line_5.wav,学校又大又美丽,学校又大又美丽,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_008_Line_6.wav,学校也很干净,学校也很干净,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_008_Line7.wav,我爱我的学校,我爱我的学校,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_1.wav,文云是我的朋友,文云是我的朋友,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_2.wav,有一次 她伤心地哭了,有一次 她伤心地哭了,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_3.wav,因为她丢了钱包,因为她丢了钱包,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_4.wav,我很同情她,我很 通 同心 她,2
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_5.wav,我约她去食堂,约她去食堂,3
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_6.wav,我买了一碗粥给她吃,我买了一碗粥给她吃,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_7.wav,我还买了一包牛奶给文云,我还买了一包牛奶给文云,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_8.wav,文云抱了我一下 跟我说 谢谢你,文云抱了我一下 跟我说 谢谢你,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_9.wav,看到朋友开心起来 我很快乐,看到朋友开心起来 我很快乐,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_10.wav,爸爸妈妈说 当朋友有需要 你应该关心他们,爸爸妈妈说 当朋友有需要 你应该关心他们,4
1f240ecf-ec08-7b87-a31f-d3bc80f51289Text_011_Line_11.wav,可以帮助到别人 我很骄傲,可以帮助到别人 我很骄傲,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_002_Line_1.wav,树枝上有一个鸟窝,树枝上有一个鸟窝,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_002_Line_2.wav,鸟儿们住在鸟窝里,鸟儿们住在鸟窝里,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_002_Line_3.wav,一片绿叶浮在水中间,一片绿叶浮在水中间,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_002_Line_4.wav,一只青蛙蹲坐在叶子上,一只青蛙蹲坐在叶子上,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_005_Line_1.wav,公园里 水池边,公园里 水池边,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_005_Line_2.wav,一 二 三 四,一 二 三 四,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_005_Line_3.wav,妹妹 哥哥 弟弟三个人 和一只小鸭子,妹妹 哥哥 弟弟三个人 和一只小鸭子,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_005_Line_4.wav,他们都在大声唱歌,他们都在大声唱歌,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_005_Line_5.wav,小鸭子游泳 也呱呱叫,小鸭子游泳 也呱呱叫,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_008_Line_1.wav,我的名字是张四光,我的名字是张四光,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_008_Line_2.wav,我今年七岁,我今年七岁,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_008_Line_3.wav,我是阳光小学一年级的学生,我是阳光  学校 一年级的学生,3
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_008_Line_4.wav,学校就在我家不远的地方,学校就在我家不远的地方,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_008_Line_5.wav,学校又大又美丽,学校又大又美丽,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_008_Line_6.wav,学校也很干净,学校也很干净,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_008_Line_7.wav,我爱我的学校,我爱我的学校,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_1.wav,文云是我的朋友,文云是我的朋友,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_2.wav,有一次 她伤心地哭了,有一 一 奇  她伤心地哭了,3
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_3.wav,因为她丢了钱包,因为她 低 丢了钱包,3
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_4.wav,我很同情她,我很同情她,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_5.wav,我约她去食堂,我约她去食堂,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_6.wav,我买了一碗粥给她吃,我买了一碗粥给她吃,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_7.wav,我还买了一包牛奶给文云,我还买了一包牛奶给文云,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_8.wav,文云抱了我一下 跟我说 谢谢你,文云 保 了我下 我一下 跟我说 谢谢你,3
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_9.wav,看到朋友开心起来 我很快乐,看到朋友开心起来 我很快乐,4
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_10.wav,爸爸妈妈说 当朋友有需要 你应该关心他们,爸爸妈妈说 当朋友有书 书 要 你应该关心他们,3
3e93f531-5129-7292-3fb3-6e192c38a4f2Text_011_Line_11.wav,可以帮助到别人 我很骄傲,可以帮助到别人 我很骄傲,4