file_names,original_script,remarks,spoken_text,fluency
baade83d-df17-2a1b-e825-ed586e745bb6_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,<UNC> ஒரு பெரிய மரம் இருக்கிறது ,4
baade83d-df17-2a1b-e825-ed586e745bb6_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,கீளையில் ஒரு கூடு இருக்கிறது,4
baade83d-df17-2a1b-e825-ed586e745bb6_2.wav,அந்தக்கூட்டில் ஒரு பறவை வாழ்கிறது.,,ஒரு பறவை வாழ வாழ்க்கிறது ,3
baade83d-df17-2a1b-e825-ed586e745bb6_3.wav,குளத்தில் சில தாமரை இலைகள் மிதக்கின்றன.,,சில தாமரை இலைகள் மீதக்கின்றன,4
baade83d-df17-2a1b-e825-ed586e745bb6_4.wav,ஒரு தவளை ஒரு தாமரை இலையின் மீது துள்ளிக்குதித்து அமர்ந்தது.,,தாவலே தவலே ஒரு தாமரை இலையின் மீது துள்ளிக்கு துள்ளு அமர்ந்தது ,3
baade83d-df17-2a1b-e825-ed586e745bb6_5.wav,அந்தத் தவளையும் பறவையும் ஏதோ பேசுகின்றன.,,தவலையும் பறவையும் ஏதா ஏதும் பேசுக்கின்றன,3
baade83d-df17-2a1b-e825-ed586e745bb6_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,,பூங்காவின் ஓரத்தில் இந்த குளத்தில்,4
baade83d-df17-2a1b-e825-ed586e745bb6_7.wav,ஒரு வாத்து நீந்திக்கொண்டிருந்தது.,,வாத்து நீந்திக்கொண்டுயிருந்தது ,4
baade83d-df17-2a1b-e825-ed586e745bb6_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",,வாத்தெ வாத்தை பார்த்த காலா முந்து முருகன் ஆகிய மூவரும் குளத் ,3
baade83d-df17-2a1b-e825-ed586e745bb6_9.wav,"குளத்தைச் சுற்றி நின்று,",,த்தை சுற்றி நின்றி ஓ ,4
baade83d-df17-2a1b-e825-ed586e745bb6_10.wav,"'ஓ, வாத்து!' பாடலைப் பாடுகிறார்கள்.",,வாத்து பாதலை பாடுக்கிறார்கள் ,3
baade83d-df17-2a1b-e825-ed586e745bb6_11.wav,என் பெயர் தமிழரசன்.,,என் பெயர் தமிழ் அரசன் ,4
baade83d-df17-2a1b-e825-ed586e745bb6_12.wav,எனக்கு ஏழு வயது.,,ஏழு வயது ,4
baade83d-df17-2a1b-e825-ed586e745bb6_13.wav,நான் ரியா தொடக்கப் பள்ளியில் தொடக்கநிலை ஒன்று மாணவர்.,,ரிய்யா தொதக்க பள்ளியில் தோடக்க நிலெ ஒன் ஒன்று மாணவன்,3
baade83d-df17-2a1b-e825-ed586e745bb6_14.wav,"எனது பள்ளி எனது வீட்டுக்கு அருகில் இருப்பதால், பள்ளிக்கு நடந்தே வருகிறேன்.",,பள்ளி எந்து வீட்டுக்கு அருக்கில் இருப்பத்தால் பள்ளிக்கு நடந் நடந்தே வாக்கின்றேன். ,3
baade83d-df17-2a1b-e825-ed586e745bb6_15.wav,என் பள்ளி மிகப்பெரியது மற்றும் அழகானது.,,மிகப்பெரியது மற்றும் அழகானது,4
baade83d-df17-2a1b-e825-ed586e745bb6_16.wav,என் தோழி பிரியா அழுகிறாள்.,,தோழி பிரிய்யா அழுக்கிறாள்,4
baade83d-df17-2a1b-e825-ed586e745bb6_17.wav,அவளது பணப்பை தொலைந்ததால் அவள் சோகமாக இருக்கிறாள்.,,அவள அவளது பணப்பெய் தோலைந்தால் அவள் சோகமாக இருக்கிறாள்.,3
baade83d-df17-2a1b-e825-ed586e745bb6_18.wav,நான் அவளிடம் பரிவுகொண்டு.,,நான் அவளிடம் பறிவுகொடு ,4
baade83d-df17-2a1b-e825-ed586e745bb6_19.wav,பிரியாவை பள்ளி உணவகத்திற்கு அழைத்து வந்தேன்.,,வை பள்ளி உணவகத்திற்கு அழைன்து வந்தேன்,4
baade83d-df17-2a1b-e825-ed586e745bb6_20.wav,"நான் அவளுக்கு ஒரு கிண்ணம் சூப்பும்,  ஒரு பால் பாக்கெட்டும் வாங்கிக் கொடுத்தேன்.",,நான் அவளுக்கு ஒரு கிண்ணம் சூப்பும் ஒரு பால் பெக்கெட்டும் வாங்கிக்கொண்டேன்,4
baade83d-df17-2a1b-e825-ed586e745bb6_21.wav,பிரியா என்னைக் கட்டிப்பிடித்து நன்றி சொன்னாள்.,,பிரியா என்னை கட்தி பிதித்து நன்றி சொன்னால்,3
baade83d-df17-2a1b-e825-ed586e745bb6_22.wav,என் தோழியை மகிழ்ச்சியாகப் பார்க்க விரும்புகிறேன்.,,ழியை மகிள்ச்சியாக பார்த்து விரும்புக்கிறேன்,4
baade83d-df17-2a1b-e825-ed586e745bb6_23.wav,நண்பர்களுக்கு உதவி தேவைப்பட்டால் உடனே உதவ வேண்டும் என்று என் பெற்றோர்கள் என்னிடம் கூறியிருக்கிறார்கள்.,,உடவி தேவா தேவைப்பட்டால் உடனே உடவ வேண்டும் என்று பெத்ரோர்கள் என்னிடம் கூறியிருக்கிறார்கள்,3
baade83d-df17-2a1b-e825-ed586e745bb6_24.wav,பிரியாவுக்கு உதவி செய்ததில் நான் பெருமிதம் கொள்கிறேன்.,,வுக்கு உதவி செய்தில் நான் பெரிமிதம் கொள்கிறேன்,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,குலகரையில் ஒரு பெரிய  மரம் இருக்கின் இருக்கிறது,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,<UNC> மரக் மரக்கி மரக்கிளையில் ஒரு கூடு இருக்கின் இருக்கிறது,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_2.wav,அந்தக்கூட்டில் ஒரு பறவை வாழ்கிறது.,,அந்தக் கூட்டில் ஒரு பறவை வாழ்க்கின் வாழ்கிறது ,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_3.wav,குளத்தில் சில தாமரை இலைகள் மிதக்கின்றன.,,சில தாமரை இலைகள் மிதிக்கி மிதிக்கின்றன ,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_4.wav,ஒரு தவளை ஒரு தாமரை இலையின் மீது துள்ளிக்குதித்து அமர்ந்தது.,,தவளை ஒரு தாமரை யில் இலையின் மிதி துள்ளி துள்ளி குதித்தது ,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_5.wav,அந்தத் தவளையும் பறவையும் ஏதோ பேசுகின்றன.,,தவளையின் பறவையும் ஏய்தோ பேசி பேசுகின்றன,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,,பூங்காவின் ஓரத்தில் இருந்த குளத்தில் ,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_7.wav,ஒரு வாத்து நீந்திக்கொண்டிருந்தது.,Audio suspected to be cut-off at the begininng. ,த்து நீந்திக்கொண்டிருந்தது ,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",,வாத்தை பார்த்தா காலா முது முத்து முருகன் அகிய மூவரும் ,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_9.wav,"குளத்தைச் சுற்றி நின்று,",,குளத்தை சூற் சுற்றி நீந் நீந் நீந்,2
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_10.wav,"'ஓ, வாத்து!' பாடலைப் பாடுகிறார்கள்.",,ஓ வாத்து பட் பாட் பாடலை பாடுகின்றார்கள்,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_11.wav,என் பெயர் தமிழரசன்.,,என் பெயர் தமிழரசன் ,4
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_12.wav,எனக்கு ஏழு வயது.,,எனக்கு ஏழு வயது ,4
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_13.wav,நான் ரியா தொடக்கப் பள்ளியில் தொடக்கநிலை ஒன்று மாணவர்.,,ரிய்யா தொ தொடக்க பள்ளியி பள்ளியில் தொட தொடங் தொடகநில் ஒன்று மாணவன்,2
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_14.wav,"எனது பள்ளி எனது வீட்டுக்கு அருகில் இருப்பதால், பள்ளிக்கு நடந்தே வருகிறேன்.",,பள்ளில் பள்ளி எனது வீட்டுக்கு ஆறு அருகில் இரு இருபேதல் பள்ளிக்கு நன் நடந்து வரு வருகிறேன்,2
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_15.wav,என் பள்ளி மிகப்பெரியது மற்றும் அழகானது.,,என் பள்ளி மிகபெரியது மீற் மற்றும் அழகானது ,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_16.wav,என் தோழி பிரியா அழுகிறாள்.,,தோழி பி ப்ரியா அழுகிறாள் ,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_17.wav,அவளது பணப்பை தொலைந்ததால் அவள் சோகமாக இருக்கிறாள்.,,அவளை பன் பனப்பை தொ தொலை தொலைந்து அவள் சோகமாக இருக்கி இருக்கிறாள்,2
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_18.wav,நான் அவளிடம் பரிவுகொண்டு.,,அவள்ளிடம் பரிவுகா பரிவுகாடு ,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_19.wav,பிரியாவை பள்ளி உணவகத்திற்கு அழைத்து வந்தேன்.,,பள்ளி உணவுக்கு உணவகதிக்கு அழைத்து வந்தேன்,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_20.wav,"நான் அவளுக்கு ஒரு கிண்ணம் சூப்பும்,  ஒரு பால் பாக்கெட்டும் வாங்கிக் கொடுத்தேன்.",,நான் அவலை அவளுக்கு ஒரு கணுப்பு சூப்பும் ஒரு பால் பெக்கெட்டும் வாங்கி கொடுத்தேன்,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_21.wav,பிரியா என்னைக் கட்டிப்பிடித்து நன்றி சொன்னாள்.,Audio repeated as above (ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_20.wav),நான் அவலை அவளுக்கு ஒரு கணுப்பு சூப்பும் ஒரு பால் பெக்கெட்டும் வாங்கி கொடுத்தேன்,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_22.wav,என் தோழியை மகிழ்ச்சியாகப் பார்க்க விரும்புகிறேன்.,Audio repeated as above (ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_20.wav),நான் அவலை அவளுக்கு ஒரு கணுப்பு சூப்பும் ஒரு பால் பெக்கெட்டும் வாங்கி கொடுத்தேன்,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_23.wav,நண்பர்களுக்கு உதவி தேவைப்பட்டால் உடனே உதவ வேண்டும் என்று என் பெற்றோர்கள் என்னிடம் கூறியிருக்கிறார்கள்.,Audio repeated as above (ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_20.wav),நான் அவலை அவளுக்கு ஒரு கணுப்பு சூப்பும் ஒரு பால் பெக்கெட்டும் வாங்கி கொடுத்தேன்,3
ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_24.wav,பிரியாவுக்கு உதவி செய்ததில் நான் பெருமிதம் கொள்கிறேன்.,Audio repeated as above (ce09d4af-cd1b-5abd-ea3f-a6ce105ec86c_20.wav),நான் அவலை அவளுக்கு ஒரு கணுப்பு சூப்பும் ஒரு பால் பெக்கெட்டும் வாங்கி கொடுத்தேன்,3